"name"
"artemisia annua"
"qinghao"
"sweet wormwood"
"sweet wormwoods"
"wormwood sweet"
"wormwoods sweet"
"qing hao"
"sweet annie"
"annie sweet"
"annies sweet"
"sweet annies"
"artemisia"
"artemisias"
"sagewort"
"sageworts"
"sagebrush"
"sagebrushs"
"wormseed levant"
"levant wormseed"
"levant wormseeds"
"wormseeds levant"
"mugwort"
"mugworts"
"wormwood"
"wormwoods"
"artemisia capillaris"
"artemisia capillari"
"capillari artemisia"
"capillaris artemisia"
"artemisia dracunculus"
"tarragon plant"
"plant tarragon"
"plants tarragon"
"tarragon plants"
"artemisia maritima"
"artemisia maritimas"
"maritimas artemisia"
"artemisia vulgaris"
"artemisia vulgari"
"vulgaris artemisia"
"artemisia abrotanum"
"artemisia abrotanums"
"abrotanums artemisia"
"southernwood"
"southernwoods"
"artemisia judaica"
"artemisia judaicas"
"judaica artemisia"
"artemisia absinthium"
"artemisia absinthiums"
"absinthiums artemisia"
"aster plant"
"aster plants"
"plant aster"
"plants aster"
"atractylis"
"atractyli"
"atractylis gummifera"
"atractylis gummiferas"
"gummiferas atractylis"
"atractylodes"
"atractylode"
"jutsu"
"jutsus"
"atractylodes lancea"
"atractylodes lanceas"
"lanceas atractylodes"
"baccharis"
"bacchari"
"willow water"
"water willows"
"willows water"
"water willow"
"broom desert"
"brooms desert"
"desert broom"
"desert brooms"
"bidens"
"biden"
"beggarticks"
"beggartick"
"bidens pilosa"
"bidens pilosas"
"pilosa bidens"
"calendula"
"calendulas"
"calendula officinalis"
"calendula officinali"
"officinalis calendula"
"callilepis"
"callilepi"
"callilepis laureola"
"callilepis laureolas"
"laureola callilepis"
"impila"
"impilas"
"carduus"
"thistle musk"
"musk thistle"
"musk thistles"
"thistles musk"
"thistle plumeless"
"plumeless thistle"
"plumeless thistles"
"thistles plumeless"
"carthamus tinctorius"
"safflower"
"safflowers"
"carthamus"
"thistle distaff"
"distaff thistle"
"distaff thistles"
"thistles distaff"
"centaurea"
"centaureas"
"thistle yellow star"
"star thistle yellow"
"star thistles yellow"
"thistles yellow star"
"yellow star thistle"
"yellow star thistles"
"thistle red star"
"red star thistle"
"red star thistles"
"star thistle red"
"star thistles red"
"thistles red star"
"cornflower"
"cornflowers"
"knapweed"
"knapweeds"
"chamaemelum"
"chamaemelums"
"chamaemelum nobile"
"chamaemelum nobiles"
"nobile chamaemelum"
"camomile roman"
"roman camomile"
"chamomile roman"
"roman chamomile"
"anthemis nobilis"
"anthemis nobili"
"nobilis anthemis"
"english chamomile"
"chamomile english"
"chamomile"
"chamomiles"
"camomile"
"camomiles"
"chamomile oil"
"chamomile oils"
"oil chamomile"
"oils chamomile"
"chicory"
"cichorium intybus"
"chromolaena"
"chromolaenas"
"chromolaena odorata"
"chromolaena odoratas"
"odorata chromolaena"
"eupatorium odoratum"
"eupatorium odoratums"
"odoratums eupatorium"
"chrysanthemum cinerariifolium"
"chrysanthemum cinerariifoliums"
"cinerariifolium chrysanthemum"
"tanacetum cinerariifolium"
"tanacetum cinerariifoliums"
"cinerariifoliums tanacetum"
"pyrethrum"
"pyrethrums"
"chrysanthemum coccineum"
"chrysanthemum coccineums"
"coccineums chrysanthemum"
"pyrethum daisy"
"daisies pyrethum"
"daisy pyrethum"
"pyrethum daisies"
"tanacetum coccineum"
"tanacetum coccineums"
"coccineums tanacetum"
"chrysanthemum"
"chrysanthemums"
"cirsium"
"cirsiums"
"thistle white"
"thistles white"
"white thistle"
"white thistles"
"thistle yellowspine"
"thistles yellowspine"
"yellowspine thistle"
"yellowspine thistles"
"thistle common"
"common thistle"
"common thistles"
"thistles common"
"thistle plume"
"plume thistle"
"plume thistles"
"thistles plume"
"cirsium arvense"
"cirsium arvenses"
"arvenses cirsium"
"thistle canadian"
"canadian thistle"
"canadian thistles"
"thistles canadian"
"cnicus"
"thistle blessed"
"cardo-santo"
"cardo santo"
"cardo-santos"
"blessed thistle"
"blessed thistles"
"thistles blessed"
"conyza"
"conyzas"
"asthmaweed"
"asthmaweeds"
"horseweed"
"horseweeds"
"coreopsis"
"coreopses"
"dahlia sea"
"dahlias sea"
"sea dahlia"
"sea dahlias"
"tickseed"
"tickseeds"
"crepis"
"crepi"
"hawks beard"
"beard hawks"
"beards hawks"
"hawk beard"
"hawks beards"
"crepis capillaris"
"crepis capillari"
"capillaris crepis"
"cynara scolymus"
"artichoke"
"artichokes"
"cynara"
"cynaras"
"cynara cardunculus"
"cardoon"
"cardoons"
"dahlia"
"dahlias"
"echinacea"
"echinacea purpurea"
"coneflower purple"
"coneflowers purple"
"purple coneflower"
"purple coneflowers"
"rudbeckia purpurea"
"echinacea pallida"
"pale purple coneflower"
"coneflower pale purple"
"coneflowers pale purple"
"pale purple coneflowers"
"purple coneflower pale"
"purple coneflowers pale"
"echinacea angustifolia"
"echinops plant"
"echinops plants"
"plant echinops"
"plants echinops"
"thistle globe"
"globe thistle"
"globe thistles"
"thistles globe"
"echinops grijisii"
"echinops grijisius"
"grijisii echinops"
"eclipta"
"ecliptas"
"erigeron"
"erigerons"
"fleabane"
"fleabanes"
"eupatorium"
"eupatoriums"
"flaveria"
"flaverias"
"geigeria"
"geigerias"
"gnaphalium"
"gnaphaliums"
"grindelia"
"grindelias"
"gumplant"
"gumplants"
"gumweed"
"gumweeds"
"haplopappus"
"tansyaster"
"tansyasters"
"helianthus"
"sunflower"
"sunflowers"
"helianthus annuus"
"jerusalem artichoke"
"artichoke jerusalem"
"helianthus tuberosus"
"helichrysum"
"helichrysums"
"inula"
"inula racemosa"
"pushkarmula"
"pushkarmulas"
"pushkarmoola"
"pushkarmoolas"
"indian elecampane"
"elecampane indian"
"elecampanes indian"
"indian elecampanes"
"inula helenium"
"elecampane"
"elecampanes"
"lettuce"
"lactuca sativa"
"leucanthemum"
"leucanthemums"
"leuzea"
"leuzeas"
"rhaponticum"
"rhaponticums"
"leuzea carthamoides"
"leuzea carthamoide"
"carthamoides leuzea"
"rhaponticum carthamoides"
"rhaponticum carthamoide"
"carthamoide rhaponticum"
"matricaria"
"matricarias"
"mayweed crown"
"crown mayweed"
"crown mayweeds"
"mayweeds crown"
"matricaria matricarioides"
"matricaria matricarioide"
"matricarioide matricaria"
"pineapple weed"
"pineapple weeds"
"weed pineapple"
"weeds pineapple"
"matricaria chamomilla"
"matricaria chamomillas"
"chamomilla matricaria"
"chamomilla recutita"
"chamomilla recutitas"
"recutitas chamomilla"
"chamomile german"
"camomile german"
"german camomile"
"matricaria recutita"
"matricaria recutitas"
"recutitas matricaria"
"german chamomile"
"mikania"
"mikanias"
"guaco"
"guacos"
"milk thistle"
"milk thistles"
"thistle milk"
"thistles milk"
"carduus marianus"
"silybum marianum"
"silybum marianums"
"marianums silybum"
"montanoa"
"montanoas"
"zoapatle"
"zoapatles"
"montanoa tomentosa"
"montanoa tomentosas"
"tomentosa montanoa"
"onopordum"
"onopordums"
"thistle cotton"
"cotton thistle"
"cotton thistles"
"thistles cotton"
"petasites"
"butterbur"
"butterburs"
"coltsfoot sweet"
"coltsfoots sweet"
"sweet coltsfoot"
"sweet coltsfoots"
"petasites hybridus"
"psacalium"
"indianbush"
"psacalium peltatum"
"matarique"
"matariques"
"psacalium putlanum"
"psacalium decompositum"
"desert indianbush"
"indianbush desert"
"cacalia decomposita"
"odontotrichum decompositum"
"pulicaria"
"pulicarias"
"ratibida"
"ratibidas"
"coneflower prairie"
"coneflowers prairie"
"prairie coneflower"
"prairie coneflowers"
"rudbeckia"
"rudbeckias"
"coneflower orange"
"coneflowers orange"
"orange coneflower"
"orange coneflowers"
"saussurea"
"saussureas"
"saussurea lappa"
"saussurea lappas"
"lappa saussurea"
"saussurea costus"
"scolymus"
"thistle golden"
"golden thistle"
"golden thistles"
"thistles golden"
"salsify spanish"
"spanish salsify"
"goldenthistle"
"goldenthistles"
"scorzonera"
"scorzoneras"
"scorsonera"
"scorsoneras"
"salsify black"
"black salsifies"
"black salsify"
"salsifies black"
"senecio"
"senecios"
"groundsel"
"groundsels"
"ragwort"
"ragworts"
"solidago"
"goldenrod"
"goldenrods"
"golden rod"
"golden rods"
"solidago virgaurea"
"sonchus"
"thistle sow"
"sow thistle"
"sow thistles"
"thistles sow"
"sonchus arvensis"
"sonchus arvenses"
"arvensis sonchus"
"thistle field milk"
"field milk thistle"
"field milk thistles"
"milk thistle field"
"milk thistles field"
"thistles field milk"
"stevia"
"stevias"
"stevia rebaudiana"
"stevia rebaudianas"
"rebaudianas stevia"
"sweetleaf"
"sweetleafs"
"eupatorium rebaudianum"
"eupatorium rebaudianums"
"rebaudianums eupatorium"
"tagetes"
"tagete"
"pericon"
"pericons"
"tanacetum parthenium"
"tanacetum partheniums"
"partheniums tanacetum"
"feverfew"
"feverfews"
